date,dcoilwtico
2013-01-01,
2013-01-02,93.14
2013-01-03,92.97
2013-01-04,93.12
2013-01-07,93.2
2013-01-08,93.21
2013-01-09,93.08
2013-01-10,93.81
2013-01-11,93.6
2013-01-14,94.27
2013-01-15,93.26
2013-01-16,94.28
2013-01-17,95.49
2013-01-18,95.61
2013-01-21,
2013-01-22,96.09
2013-01-23,95.06
2013-01-24,95.35
2013-01-25,95.15
2013-01-28,95.95
2013-01-29,97.62
2013-01-30,97.98
2013-01-31,97.65
2013-02-01,97.46
2013-02-04,96.21
2013-02-05,96.68
2013-02-06,96.44
2013-02-07,95.84
2013-02-08,95.71
2013-02-11,97.01
2013-02-12,97.48
2013-02-13,97.03
2013-02-14,97.3
2013-02-15,95.95
2013-02-18,
2013-02-19,96.69
2013-02-20,94.92
2013-02-21,92.79
2013-02-22,93.12
2013-02-25,92.74
2013-02-26,92.63
2013-02-27,92.84
2013-02-28,92.03
2013-03-01,90.71
2013-03-04,90.13
2013-03-05,90.88
2013-03-06,90.47
2013-03-07,91.53
2013-03-08,92.01
2013-03-11,92.07
2013-03-12,92.44
2013-03-13,92.47
2013-03-14,93.03
2013-03-15,93.49
2013-03-18,93.71
2013-03-19,92.44
2013-03-20,93.21
2013-03-21,92.46
2013-03-22,93.41
2013-03-25,94.55
2013-03-26,95.99
2013-03-27,96.53
2013-03-28,97.24
2013-03-29,
2013-04-01,97.1
2013-04-02,97.23
2013-04-03,95.02
2013-04-04,93.26
2013-04-05,92.76
2013-04-08,93.36
2013-04-09,94.18
2013-04-10,94.59
2013-04-11,93.44
2013-04-12,91.23
2013-04-15,88.75
2013-04-16,88.73
2013-04-17,86.65
2013-04-18,87.83
2013-04-19,88.04
2013-04-22,88.81
2013-04-23,89.21
2013-04-24,91.07
2013-04-25,93.27
2013-04-26,92.63
2013-04-29,94.09
2013-04-30,93.22
2013-05-01,90.74
2013-05-02,93.7
2013-05-03,95.25
2013-05-06,95.8
2013-05-07,95.28
2013-05-08,96.24
2013-05-09,96.09
2013-05-10,95.81
2013-05-13,94.76
2013-05-14,93.96
2013-05-15,93.95
2013-05-16,94.85
2013-05-17,95.72
2013-05-20,96.29
2013-05-21,95.55
2013-05-22,93.98
2013-05-23,94.12
2013-05-24,93.84
2013-05-27,
2013-05-28,94.65
2013-05-29,93.13
2013-05-30,93.57
2013-05-31,91.93
2013-06-03,93.41
2013-06-04,93.36
2013-06-05,93.66
2013-06-06,94.71
2013-06-07,96.11
2013-06-10,95.82
2013-06-11,95.5
2013-06-12,95.98
2013-06-13,96.66
2013-06-14,97.83
2013-06-17,97.86
2013-06-18,98.46
2013-06-19,98.24
2013-06-20,94.89
2013-06-21,93.81
2013-06-24,95.07
2013-06-25,95.25
2013-06-26,95.47
2013-06-27,97.0
