date,type,locale,locale_name,description,transferred
2012-03-02,Holiday,Local,Manta,Fundacion de Manta,False
2012-04-01,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,False
2012-04-12,Holiday,Local,Cuenca,Fundacion de Cuenca,False
2012-04-14,Holiday,Local,Libertad,Cantonizacion de Libertad,False
2012-04-21,Holiday,Local,Riobamba,Cantonizacion de Riobamba,False
2012-05-12,Holiday,Local,Puyo,Cantonizacion del Puyo,False
2012-06-23,Holiday,Local,Guaranda,Cantonizacion de Guaranda,False
2012-06-25,Holiday,Regional,Imbabura,Provincializacion de Imbabura,False
2012-06-25,Holiday,Local,Latacunga,Cantonizacion de Latacunga,False
2012-06-25,Holiday,Local,Machala,Fundacion de Machala,False
2012-07-03,Holiday,Local,Santo Domingo,Fundacion de Santo Domingo,False
2012-07-03,Holiday,Local,El Carmen,Cantonizacion de El Carmen,False
2012-07-23,Holiday,Local,Cayambe,Cantonizacion de Cayambe,False
2012-08-05,Holiday,Local,Esmeraldas,Fundacion de Esmeraldas,False
2012-08-10,Holiday,National,Ecuador,Primer Grito de Independencia,False
2012-08-15,Holiday,Local,Riobamba,Fundacion de Riobamba,False
2012-08-24,Holiday,Local,Ambato,Fundacion de Ambato,False
2012-09-28,Holiday,Local,Ibarra,Fundacion de Ibarra,False
2012-10-07,Holiday,Local,Quevedo,Cantonizacion de Quevedo,False
2012-10-09,Holiday,National,Ecuador,Independencia de Guayaquil,True
2012-10-12,Transfer,National,Ecuador,Traslado Independencia de Guayaquil,False
2012-11-02,Holiday,National,Ecuador,Dia de Difuntos,False
2012-11-03,Holiday,National,Ecuador,Independencia de Cuenca,False
2012-11-06,Holiday,Regional,Santo Domingo de los Tsachilas,Provincializacion de Santo Domingo,False
2012-11-07,Holiday,Regional,Santa Elena,Provincializacion Santa Elena,False
2012-11-10,Holiday,Local,Guaranda,Independencia de Guaranda,False
2012-11-11,Holiday,Local,Latacunga,Independencia de Latacunga,False
